generation,genome_id,model_key,det,det_pass_rate,sdet,avg_prompt_tokens,warm_latency_p50,peak_vram_gb,oom_count,failure_rate,is_pareto_frontier,newly_discovered_frontier,dominated_by,pareto_rank,knee_candidate,pareto_status
1,gen-acd8d60c-f7c3-7768-272e-1069de7225be,qwen25_coder_14b,100.0,100.0,100.0,75162.0,32.2871,,,0.0,True,True,,1,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,full_metrics
1,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,qwen25_coder_14b,95.6106,100.0,95.6106,40070.5,14.20375,,,0.0,True,True,,1,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,full_metrics
2,gen-acd8d60c-f7c3-7768-272e-1069de7225be,qwen25_coder_14b,100.0,100.0,100.0,75162.0,32.260475,,,0.0,True,False,,1,gen-f6d4d979-6538-7164-6c83-770691877a47,full_metrics
2,gen-e8efcc0c-7292-6fde-abcf-8c8b50493ff1,qwen25_coder_14b,100.0,100.0,100.0,75162.0,32.270875,,,0.0,True,True,,1,gen-f6d4d979-6538-7164-6c83-770691877a47,full_metrics
2,gen-f6d4d979-6538-7164-6c83-770691877a47,qwen25_coder_14b,95.6106,100.0,95.6106,39788.5,13.85455,,,0.0,True,True,,1,gen-f6d4d979-6538-7164-6c83-770691877a47,full_metrics
3,gen-43710534-37f6-561f-a40d-e353f756afa5,qwen25_coder_14b,95.6106,100.0,95.6106,39663.5,13.814,,,0.0,True,True,,1,gen-43710534-37f6-561f-a40d-e353f756afa5,full_metrics
3,gen-acd8d60c-f7c3-7768-272e-1069de7225be,qwen25_coder_14b,100.0,100.0,100.0,75162.0,32.3034,,,0.0,True,False,,1,gen-43710534-37f6-561f-a40d-e353f756afa5,full_metrics
