generation,model_key,new_frontier,frontier_size,best_det,best_det_genome_id,best_tokens,best_tokens_genome_id,knee_candidate,pareto_status,oom_resolved,overbudget_children
1,qwen25_coder_14b,1,1,100.0,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,27082.0,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,full_metrics,,
2,qwen25_coder_14b,1,1,100.0,gen-2b3a85ef-3b1e-a01c-673b-58d152daf6d4,26325.0,gen-2b3a85ef-3b1e-a01c-673b-58d152daf6d4,gen-2b3a85ef-3b1e-a01c-673b-58d152daf6d4,full_metrics,,
