profile,generation,model_key,genome_id,parent_ids,model,fitness,avg_det_score,det_pass_rate,det_variance,avg_prompt_tokens,strict_sdet,replay_fit,schema_fail_rate,train_avg_det_score,train_det_pass_rate,validation_avg_det_score,validation_det_pass_rate,validation_gt_exact_rate,candidate_strategies,active_core_blocks,active_optional_blocks,mutation_types,crossover_used,advisor_used,feedback_types_used,promoted_candidate
version0_15,1,qwen25_coder_7b,gen-bbf8b961-f83c-3169-009b-831460788576,,Qwen/Qwen2.5-Coder-7B-Instruct,-15.810047,87.9273,70.8333,207.474695,68729.8333,87.9273,,33.3333,87.9273,70.8333,87.9273,70.8333,33.3333,compact_json|minimal|explicit_preconditions,"01,02","03,05,06",initial_random,False,False,,True
version0_15,2,qwen25_coder_7b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,,Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",initial_random,False,False,,True
version0_15,3,qwen25_coder_7b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,,Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",initial_random,False,False,,True
version0_15,4,qwen25_coder_7b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,,Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",initial_random,False,False,,True
version0_15,5,qwen25_coder_7b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,,Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",initial_random,False,False,,True
version0_15,6,qwen25_coder_7b,gen-850d8fe7-1f4e-6869-3fc0-fada9a20a275,,Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",initial_random,False,False,,True
version0_15,7,qwen25_coder_7b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",,True,False,,True
version0_15,8,qwen25_coder_7b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",,True,False,,True
version0_15,9,qwen25_coder_7b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",,True,False,,True
version0_15,10,qwen25_coder_7b,gen-3e32de78-6d85-69dd-f31f-678e1ed93856,"gen-aa260320-7d41-aadd-0f01-03d60439a016,gen-35507705-e7f2-e7de-3ec6-0a2631bfae7e",Qwen/Qwen2.5-Coder-7B-Instruct,29.127943,90.7404,83.3333,123.224913,70088.8333,90.7404,,29.1667,90.7404,83.3333,90.7404,83.3333,25.0,explicit_preconditions|minimal,"01,02","03,05",,True,False,,True
