profile,generation,model_key,genome_id,parent_ids,model,fitness,avg_det_score,det_pass_rate,det_variance,avg_prompt_tokens,strict_sdet,replay_fit,schema_fail_rate,train_avg_det_score,train_det_pass_rate,validation_avg_det_score,validation_det_pass_rate,validation_gt_exact_rate,candidate_strategies,active_core_blocks,active_optional_blocks,mutation_types,crossover_used,advisor_used,feedback_types_used,promoted_candidate,raw_generation_best_DETPass,best_so_far_DETPass,accepted_best_DETPass,score_main,score_accuracy,score_efficiency,score_balanced,score_deployment,token_penalty,compression_gain,category_balance_score,regression_penalty,pareto_rank,pareto_frontier_member,generation_phase,plateau_type,next_action,stop_candidate,stop_reason,unique_prompt_hash_count,pareto_archive_size,pareto_archive_delta,disruptive_attempt_count,advisor_triggered,compression_ready,compression_detpass_threshold,compression_phase
version0_15,1,qwen25_coder_14b,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,,Qwen/Qwen2.5-Coder-14B-Instruct,118.6152,93.076,100.0,0.0,19010.0,93.076,,0.0,93.076,100.0,93.076,100.0,0.0,minimal|direct|canonical_names_first|compact_json,"01,02","05,06",initial_random,False,False,,True,100.0,100.0,,118.6152,118.6152,100.0,118.6152,118.6152,0.0,0.0,100.0,0.0,999,False,ACCURACY_SEARCH,warming_up,continue_accuracy,False,,4,2,2,0,False,True,90.0,COMPRESSION_READY
version0_15,2,qwen25_coder_14b,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,Qwen/Qwen2.5-Coder-14B-Instruct,118.6152,93.076,100.0,0.0,12558.0,93.076,,0.0,93.076,100.0,93.076,100.0,0.0,minimal|direct|canonical_names_first|compact_json,"01,02",06,drop_optional_block,False,False,,True,100.0,100.0,100.0,118.6152,118.6152,100.0,118.6152,118.6152,0.0,0.0,100.0,0.0,999,False,FINAL_SELECTION,max_generation_reached,stop_and_finalize,True,max generations reached,4,3,1,0,False,True,90.0,COMPRESSION_READY
