proposal_id,source,mutation_family,operator,mutation_type,target_units,target_block_id,target_block_family,replacement_text,estimated_token_delta,actual_token_delta,risk_score,affected_failure_families,expected_effect,requires_validation,accepted,rejection_reason,rollback_units,generation,parent_genome_id,child_genome_id,schema_source,proposal_state,advisor_batch_id,advisor_proposal_id,raw_response_path,advisor_prompt_path,category_scope,group_scope,priority,regression_risk,scheduling_reason,advisor_child_duplicate,duplicate_of,compression_level,compression_phase,selected_compression_target,selected_block_id,selected_block_ids,block_family,block_token_before,block_token_after_estimate,expected_token_delta,measured_prompt_token_delta,measured_prompt_token_delta_pct,fallback_reason,largest_token_component,preserved_content,removable_content
block_compression_g002_ce9ba084,compression_fallback,compression,drop_optional_block,drop_optional_block,[],05,Repair_Clause,,-1117,0,0.25,"[""token_overbudget""]",block compression lane proposal.,True,True,,[],2,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,,proposed,,,,,[],[],0,0.0,,False,,block,COMPRESSION_READY,05,05,[],Repair_Clause,4470,3353,-1117,-6452.0,-33.94,no_valid_advisor_proposal,02,"[""validator-critical schema/service/temporal constraints""]","[""duplicates, verbose hints, redundant examples""]"
compression_g002_b132d315,compression_fallback,compression,drop_optional_blocks_for_budget,drop_optional_blocks_for_budget,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],2,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,gen-6637c9e3-c3e2-716c-624b-f3227734ffac,,proposed,,,,,[],[],0,0.0,,False,,micro,,,,[],,0,0,0,,,no_valid_advisor_proposal,,[],[]
block_compression_g003_16ea5798,compression_fallback,compression,drop_optional_block,drop_optional_block,[],06,DET_Helper,,-53,0,0.25,"[""token_overbudget""]",block compression lane proposal.,True,True,,[],3,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,gen-1b17001a-25af-cc4a-c634-cc693b2989e7,,proposed,,,,,[],[],0,0.0,,False,,block,COMPRESSION_READY,06,06,[],DET_Helper,212,159,-53,,,no_valid_advisor_proposal,02,"[""validator-critical schema/service/temporal constraints""]","[""duplicates, verbose hints, redundant examples""]"
compression_g003_41aa2603,compression_fallback,compression,prune_micro_rules_to_top_k,prune_micro_rules_to_top_k,[],,,,0,0,0.35,[],compression mutation generated by phase-aware scheduler.,True,True,,[],3,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,gen-e3c3cca3-a297-963a-fe18-994a98f23ef8,,proposed,,,,,[],[],0,0.0,,False,,micro,,,,[],,0,0,0,,,no_valid_advisor_proposal,,[],[]
accuracy_repair_g003_6fdeabcf,det_feedback,accuracy_repair,strengthen_no_unrelated_action_rule,strengthen_no_unrelated_action_rule,[],03,Minimality,"Emit only actions required by the command; remove unrelated reads, duplicate actions, and invented wrappers.",0,0,0.2,"[""extraneous_action""]",accuracy_repair mutation generated by phase-aware scheduler.,True,True,,[],3,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,gen-9c8a4428-56f6-c8cd-a33f-a37d5ce08b9f,,proposed,,,,,[],[],0,0.0,,False,,,,,,[],,0,0,0,,,,,[],[]
