generation,rank,model_key,genome_id,det,det_pass_rate,det_pass_count,row_count,tokens,core_blocks,optional_blocks,parent_ids,major_mutations,advisor_proposal_id,fitness,elite_reason,selection_reason,archive_membership,pareto_rank,prompt_hash,block_signature,rule_signature,mutation_family,mutation_operator
1,1,qwen25_coder_14b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,50.0,50.0,2,4,10434.5,"01,02","03,05,06",,initial_random,,58.75,,,,999,405e78ea3c6a6f8e,"01,02,03,05,06",da39a3ee5e6b4b0d,,
1,2,qwen25_coder_14b,gen-378892e9-ecc3-87ab-8b45-85023a0286cc,50.0,50.0,2,4,11094.0,"01,02","05,06",,initial_random,,58.75,,,,999,f46bf2e71841352a,"01,02,05,06",c4d08f4d9268f2bc,,
2,1,qwen25_coder_14b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,50.0,50.0,2,4,10434.5,"01,02","03,05,06",,initial_random,,58.75,,,,999,405e78ea3c6a6f8e,"01,02,03,05,06",da39a3ee5e6b4b0d,,
2,2,qwen25_coder_14b,gen-bdd4e724-5407-b1de-8fa2-b132d3152091,50.0,50.0,2,4,10447.5,"01,02","03,05,06",gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,strengthen_json_only_rule,,58.75,,,,999,352756fd5f287b4f,"01,02,03,05,06",4cc9e8fa991ec283,accuracy_repair,strengthen_json_only_rule
3,1,qwen25_coder_14b,gen-6c3bf6ba-f915-e48f-9141-09fb9b540624,100.0,100.0,4,4,27989.0,"01,02","03,06",,initial_random,,120.0,,,,999,bce15b3be8751685,"01,02,03,06",d7c3c8779ca6fe58,,
3,2,qwen25_coder_14b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,50.0,50.0,2,4,10434.5,"01,02","03,05,06",,initial_random,,58.75,,,,999,405e78ea3c6a6f8e,"01,02,03,05,06",da39a3ee5e6b4b0d,,
