generation,rank,model_key,genome_id,det,det_pass_rate,det_pass_count,row_count,tokens,core_blocks,optional_blocks,parent_ids,major_mutations,advisor_proposal_id,fitness,elite_reason,selection_reason,archive_membership,pareto_rank,prompt_hash,block_signature,rule_signature,mutation_family,mutation_operator
1,1,qwen25_coder_14b,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,100.0,100.0,1,1,40043.0,"01,02",03,,initial_random,,120.0,,,,999,bf04ea331e632db9,"01,02,03",d7c3c8779ca6fe58,,
1,2,qwen25_coder_14b,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,100.0,100.0,1,1,75479.0,"01,02","03,05,06",,initial_random,,120.0,,,,999,405e78ea3c6a6f8e,"01,02,03,05,06",da39a3ee5e6b4b0d,,
1,3,qwen25_coder_14b,gen-bbf8b961-f83c-3169-009b-831460788576,100.0,100.0,1,1,75526.0,"01,02","03,05,06",,initial_random,,120.0,,,,999,6e6e8c3aa0b75feb,"01,02,03,05,06",828da936fcacd0d1,,
2,1,qwen25_coder_14b,gen-2b3a85ef-3b1e-a01c-673b-58d152daf6d4,100.0,100.0,1,1,39286.0,"01,02",03,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,reduce_few_shot_count_to_zero,,120.18905,,,,999,b50a8395d957c877,"01,02,03",d7c3c8779ca6fe58,compression,reduce_few_shot_count_to_zero
2,2,qwen25_coder_14b,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,100.0,100.0,1,1,40042.0,"01,02",03,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,compress_candidate_strategies_to_minimal,,120.00025,,,,999,59f0815b941fcf2d,"01,02,03",d7c3c8779ca6fe58,compression,compress_candidate_strategies_to_minimal
2,3,qwen25_coder_14b,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,100.0,100.0,1,1,40043.0,"01,02",03,,initial_random,,120.0,,,,999,bf04ea331e632db9,"01,02,03",d7c3c8779ca6fe58,,
