generation,candidate_id,model_key,DETPass,SDET,avg_prompt_tokens,replay_gate_pass,regression_gate_pass,promoted,rejection_reason,accepted_prompt_path,previous_accepted_prompt
1,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245,qwen25_coder_14b,100.0,100.0,40043.0,True,True,True,,/root/llm/JOILang-Server/artifacts/notebook_ga_runs/20260623_171339/baseline_row001_g2_20260623_172950/accepted_genomes/generation_001_gen-af17dfa2-8346-1468-fe4c-138bdd4e7245.json,
2,gen-2b3a85ef-3b1e-a01c-673b-58d152daf6d4,qwen25_coder_14b,100.0,100.0,39286.0,True,True,True,,/root/llm/JOILang-Server/artifacts/notebook_ga_runs/20260623_171339/baseline_row001_g2_20260623_172950/accepted_genomes/generation_002_gen-2b3a85ef-3b1e-a01c-673b-58d152daf6d4.json,gen-af17dfa2-8346-1468-fe4c-138bdd4e7245
