generation,candidate_id,model_key,DETPass,SDET,avg_prompt_tokens,replay_gate_pass,regression_gate_pass,promoted,rejection_reason,accepted_prompt_path,previous_accepted_prompt
1,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e,qwen25_coder_14b,100.0,100.0,75533.0,True,True,True,,/root/llm/JOILang-Server/artifacts/notebook_ga_runs/20260623_180959/baseline_row125_cat5_g3_20260623_204406/accepted_genomes/generation_001_gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e.json,
2,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9,qwen25_coder_14b,100.0,94.4586,40160.0,True,True,True,,/root/llm/JOILang-Server/artifacts/notebook_ga_runs/20260623_180959/baseline_row125_cat5_g3_20260623_204406/accepted_genomes/generation_002_gen-72e1069d-e722-5be6-c3bf-6baf915e48f9.json,gen-e6f98332-8830-5d32-df5c-e9fedd38fc7e
3,gen-442856f6-c8cd-a33f-a37d-5ce08b9fdc88,qwen25_coder_14b,100.0,100.0,75331.0,True,True,True,,/root/llm/JOILang-Server/artifacts/notebook_ga_runs/20260623_180959/baseline_row125_cat5_g3_20260623_204406/accepted_genomes/generation_003_gen-442856f6-c8cd-a33f-a37d-5ce08b9fdc88.json,gen-72e1069d-e722-5be6-c3bf-6baf915e48f9
