failure_type,affected_block_family,suggested_mutation_type,prompt_block_id,failure_count,original_failure_reasons,rule,priority,generation,model_key
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,1,enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,1,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,1,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,1,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,1,enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,2,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,1,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,2,qwen25_coder_14b
enum_type_mismatch,Enum_Grounding,strengthen_enum_type_rule,02,3,enum_grounding,"For ENUM arguments, copy an allowed enum value exactly; for numeric arguments, use unquoted numeric literals.",1,3,qwen25_coder_14b
semantic_error,DET_Helper,add_targeted_repair_hint,06,3,gt_mismatch,"If code is schema-valid but not target-equivalent, repair receiver coverage, service coverage, dataflow, numeric, and enum grounding.",3,3,qwen25_coder_14b
